id,nombre,categoria,subcategoria,descripcion_corta,descripcion_larga,imagen,tipo_variante,opcion_1,precio_1,opcion_2,precio_2,opcion_3,precio_3,opcion_4,precio_4,opcion_5,precio_5
aji,Aji Cayena Amarillo Molido,condimentos,,"Especia intensamente picante que aporta calor, carácter y potencia a cualquier preparación.","Aporta calor profundo y persistente. En cocina se usa para salsas, guisos, carnes, legumbres, aderezos y preparaciones mexicanas o criollas.
Desde lo funcional, estimula la circulación, activa el metabolismo y favorece la digestión en pequeñas cantidades.
✨ Energéticamente, es una especia de fuego: activa, moviliza, rompe estancamientos y aporta decisión. Ideal para momentos de baja energía o para “levantar” una preparación pesada.",Aji Cayena Amarillo molido.jpg,peso,25g,190,50g,330,100g,610,,,,
ajoP,Ajo en Polvo,condimentos,,Intensificador natural del sabor con carácter profundo.,"De sabor ardiente, directo y persistente, el ají cayena amarillo molido se utiliza en pequeñas cantidades para realzar guisos, salsas, carnes, legumbres, adobos, salteados y cocina criolla o latinoamericana. Su picor no solo aporta intensidad, sino que también despierta los demás sabores del plato, activando el paladar y generando una sensación de profundidad y energía.

Desde lo funcional, es tradicionalmente reconocido como estimulante circulatorio y digestivo. Favorece la producción de jugos gástricos, puede ayudar a mejorar digestiones pesadas y estimula el metabolismo gracias a su efecto termogénico natural. En pequeñas dosis, activa sin irritar; en exceso, puede resultar invasivo, por lo que se recomienda usarlo con intención y medida.

✨ Energéticamente, el ají cayena es pura energía de fuego. Representa acción, impulso y movimiento. Es una especia que rompe la inercia, moviliza lo estancado y aporta determinación. Ideal en momentos de baja vitalidad o cuando se necesita “encender” tanto una preparación como el ánimo. Trabaja simbólicamente el coraje, la decisión y la fuerza de voluntad.",ajoP.jpg,peso,25g,170,50g,290,100g,540,,,,
albahaca,Albahaca ,condimentos,,Hierba aromática fresca de espíritu mediterráneo.,"De aroma delicado pero presente, con notas ligeramente dulces y anisadas, la albahaca es emblema de la cocina mediterránea. Es protagonista en pestos, salsas de tomate, pastas, ensaladas frescas, bruschettas y preparaciones con vegetales. También combina muy bien con aceite de oliva, ajo y quesos suaves.
Para preservar su perfume y frescura, se recomienda incorporarla al final de la cocción o en crudo.

Desde lo funcional, la albahaca es tradicionalmente considerada digestiva suave y antiespasmódica, ayudando a aliviar gases, digestiones pesadas leves y molestias asociadas al estrés. También posee propiedades antioxidantes y ligeramente antiinflamatorias.

✨ Energéticamente, la albahaca es una hierba de armonía y apertura. Se la asocia con el corazón, la alegría y la prosperidad. Su energía es luminosa y equilibrante: suaviza tensiones, invita al disfrute y aporta una sensación de frescura emocional. No impone, sino que integra. Es una hierba que acompaña y embellece.",Albahaca.jpeg,peso,25g,190,50g,330,100g,620,,,,
anisE,Anis estrellado entero,condimentos,,Especia dulce e intensa con notas a regaliz.,"De perfume penetrante y envolvente, el anís estrellado se utiliza entero en infusiones, compotas, almíbares, licores, vinos especiados y también en preparaciones saladas de la cocina asiática (caldos, guisos y mezclas como el five spice). Su forma estrellada no solo es estética, sino que refleja su potencia aromática: con una sola pieza suele ser suficiente para perfumar una preparación.

Desde lo funcional, es tradicionalmente digestivo y carminativo, ayudando a aliviar gases, cólicos y digestiones pesadas. También se le atribuyen propiedades expectorantes suaves y efecto reconfortante en resfríos leves cuando se usa en infusión caliente.

✨ Energéticamente, el anís estrellado es una especia de dulzura consciente y contención. Su energía es envolvente, protectora y suavemente expansiva. Se asocia con la calma emocional, el abrigo y la sensación de cuidado. La forma de estrella simboliza guía y orientación, por eso muchas tradiciones lo vinculan con claridad en momentos de confusión y con la apertura a nuevas direcciones.",anis estrellado.jpg,peso,25g,990,50g,1940,100g,3830,,,,
anisM,Anís Molido,condimentos,,Dulce especiado para repostería tradicional.,"De sabor delicadamente dulce, con notas a regaliz y un fondo ligeramente cálido, el anís molido es muy utilizado en repostería tradicional, panes caseros, galletas, budines y masas especiadas. Al estar molido, su aroma se integra de manera más homogénea y envolvente en la preparación, sin puntos de intensidad como puede suceder con el anís estrellado entero.

En cocina salada también puede incorporarse en pequeñas cantidades en masas, adobos o mezclas especiadas donde se busque un matiz dulce-aromático sutil.

Desde lo funcional, el anís es reconocido tradicionalmente como digestivo y carminativo, ayudando a reducir gases, cólicos y pesadez después de comidas abundantes. También se asocia con efecto suavemente expectorante y calmante leve del sistema digestivo.

✨ Energéticamente, el anís molido tiene una vibración más hogareña y envolvente que el estrellado. Invita a la calma, al disfrute pausado y a la conexión con lo simple. Es una especia que evoca memoria afectiva, tradición y cuidado. Aporta sensación de abrigo emocional y dulzura en el ambiente.",anis-molido.gif,peso,25g,160,50g,270,100g,510,,,,
canelaP,Canela en polvo,condimentos,,Especia dulce y cálida que aporta profundidad y aroma envolvente.,"De perfume envolvente, ligeramente dulce y especiado, la canela en polvo es protagonista en repostería, panificados, budines, compotas, café, chocolate caliente y mezclas especiadas. También puede incorporarse en platos salados de inspiración oriental o árabe, donde aporta contraste y complejidad.
Al estar molida, se integra de manera uniforme en masas, bebidas y preparaciones cremosas.

Desde lo funcional, la canela es tradicionalmente reconocida como digestiva, estimulante circulatoria y reguladora metabólica suave. Se le atribuye apoyo en la regulación de glucosa, efecto termogénico leve y acción antioxidante. También aporta sensación reconfortante en estados de frío físico o digestiones lentas.

✨ Energéticamente, la canela es expansiva y activadora. Se asocia con la abundancia, la vitalidad y el magnetismo personal. Su energía es cálida, envolvente y estimulante del fuego interno. Trabaja simbólicamente el entusiasmo, la creatividad y la apertura a recibir. Es una especia que reconforta, pero también impulsa.",canela en polvo.jpg,peso,25g,410,50g,790,100g,1530,,,,
cebollaE,Cebolla en escamas,condimentos,,Aporta dulzor y profundidad natural.,"La cebolla en escamas conserva el sabor característico de la cebolla deshidratada: ligeramente dulce, cálido y con fondo vegetal intenso. Al hidratarse durante la cocción, recupera parte de su textura y libera su aroma de manera gradual.
Es ideal para sopas, guisos, arroces, panes caseros, hamburguesas, rellenos, mezclas secas, caldos y preparaciones donde se busca sabor sin necesidad de picar cebolla fresca. También funciona muy bien en adobos y mezclas tipo rub para carnes.

Desde lo funcional, la cebolla ha sido tradicionalmente considerada estimulante digestiva y depurativa suave, favoreciendo la secreción de jugos gástricos y acompañando procesos naturales de limpieza interna. También se le atribuyen propiedades antioxidantes y apoyo circulatorio leve.

✨ Energéticamente, la cebolla es una planta de purificación y limpieza profunda. En muchas tradiciones se la asocia con la capacidad de “absorber” cargas densas y ayudar a liberar lo que ya no sirve. Simbólicamente, sus capas representan procesos de autoconocimiento y transformación: ir quitando capas para llegar al centro. Su energía es intensa pero sanadora, vinculada a la claridad y la honestidad interior.",cebolla en escamas.jpg,peso,25g,400,50g,750,100g,1450,,,,
cebollaP,Cebolla Polvo ,condimentos,,Base aromática práctica y versátil.,"La cebolla en polvo concentra el sabor característico de la cebolla en una textura fina y de integración inmediata. Aporta un perfil ligeramente dulce, cálido y persistente que se distribuye de forma homogénea en mezclas secas, hamburguesas, rellenos, sopas, adobos, salsas, dips y preparaciones rápidas.
Es especialmente útil cuando se busca sabor sin textura visible ni humedad, lo que la convierte en aliada ideal para condimentos caseros y blends personalizados.

Desde lo funcional, la cebolla es tradicionalmente considerada digestiva y estimulante suave del sistema circulatorio, favoreciendo la secreción de enzimas digestivas y acompañando procesos naturales de depuración. También se le atribuyen propiedades antioxidantes y apoyo al sistema inmune por sus compuestos azufrados naturales.

✨ Energéticamente, la cebolla en polvo conserva la vibración purificadora de la cebolla fresca, pero de forma más integrada y sutil. Representa limpieza interna sin confrontación, transformación silenciosa y trabajo profundo que no siempre se ve, pero sostiene. Simbólicamente, habla de coherencia y de base sólida: no brilla por encima, pero sostiene todo lo demás.",Cebolla Polvo.jpg,peso,25g,260,50g,470,100g,910,,,,
chimichurri,Chimichurri,condimentos,,"Mezcla intensa y vibrante que aporta carácter, frescura y profundidad a carnes y vegetales.","El chimichurri es un blend tradicional que combina hierbas secas (generalmente orégano y perejil), ajo, ají molido y otras especias aromáticas. Su perfil es herbal, ligeramente picante y profundamente aromático.
Se hidrata con aceite y vinagre para convertirse en salsa o marinada, ideal para carnes asadas, vegetales grillados, papas al horno y panes caseros. También puede incorporarse en aderezos, salteados o mezclas para legumbres.

Desde lo funcional, reúne propiedades de varias plantas digestivas y estimulantes:

El ajo y el ají activan la circulación y el metabolismo.

El orégano aporta efecto antioxidante y antimicrobiano natural.

El perejil contribuye con frescura y apoyo depurativo leve.

Es una mezcla que estimula el apetito y favorece digestiones más activas.

✨ Energéticamente, el chimichurri es energía de fuego colectivo. Representa celebración, encuentro, compartir y disfrute consciente. Está profundamente ligado al ritual del asado y a la reunión alrededor del alimento.
Su vibración es expansiva, vital y comunitaria. No es introspectivo: es energía de vínculo, de mesa larga y conversación. Activa el corazón desde lo social.",chimichurri.jpg,peso,25g,160,50g,280,100g,530,,,,
clavoE,Clavo de Olor Entero ,condimentos,,"Especia intensa y penetrante que aporta profundidad, carácter y calidez concentrada.","De aroma fuerte, cálido y ligeramente picante, el clavo de olor entero es una de las especias más potentes en perfil aromático. Se utiliza en pequeñas cantidades en infusiones, compotas, vinos especiados, conservas, guisos, currys y mezclas dulces como panificados navideños. También puede incorporarse entero en cocciones largas para perfumar salsas y caldos, retirándolo antes de servir.

Desde lo funcional, el clavo es tradicionalmente reconocido por su acción digestiva potente, carminativa y antimicrobiana natural. Se le atribuyen propiedades analgésicas suaves (especialmente a nivel bucal), efecto estimulante circulatorio y apoyo en estados de frío interno. Su principio activo principal, el eugenol, es responsable de gran parte de su intensidad aromática y funcional.

✨ Energéticamente, el clavo de olor es una especia de protección y poder. Su energía es concentrada, penetrante y transformadora. Se asocia con limpieza profunda, fortalecimiento del campo personal y corte de energías densas. No es una especia suave: es decidida, firme y estructurante.
Trabaja simbólicamente la determinación y la fortaleza interior. Es fuego contenido, no disperso.",clavo.webp,peso,25g,1550,50g,3050,100g,6060,,,,
